Title,Ingredients,Instructions
['Paneer Butter Masala Recipe'],"For Paneer Butter Masala▢ 1½ to 2 tablespoon Butter▢ 1½ teaspoon ginger garlic paste  (or ¾ inch ginger, 3 medium garlic cloves, refer notes)▢ ½ cup water (adjust as required, to cook the gravy)▢ 200 to 250 grams paneer (2 heaped cups diced)▢ 1 teaspoon kasuri methi (dried fenugreek leaves)▢ 3 tablespoon cream (heavy cream, whipping cream or cooking cream)▢ 2 tablespoon coriander leaves (cilantro finely chopped) (for garnish)","▢ Heat butter in the same pan. Optional – When the butter melts, add cinnamon,  cloves, green cardamoms & bay leaf. ▢ Reduce the flame to low, saute ginger garlic paste for a minute until it smells aromatic.▢ Stir in the blended onion tomato puree. Taste test your puree & optionally you may add more red chili powder for a deeper color.▢ Pour more water & mix well. Bring it to a rolling boil. Reduce the heat to medium and cook covered until the gravy cooks down to a thicker consistency. Keep stirring every few minutes.▢ You know the gravy is done when it turns thick and traces of fat is visible on the gravy. Taste test and add more salt or garam masala if needed.▢ Lower the flame completely, add cubed paneer. Take kasuri methi to your palm and crush it in between your palms. Sprinkle this.▢ Mix & cook covered on a low heat for 2 minutes. Turn off and pour cream (save some for garnish) & stir.▢ Transfer paneer butter masala to a serving bowl. Garnish with more cream & chopped coriander leaves. Serve this with butter naan , Basmati rice or jeera rice."
"['Samosa Recipe, How to Make Punjabi Samosa']","To make Green Sauce/chutney▢ 2 cups mint leaves (use only leaves, no stalks, sub with cilantro)▢ 1 cup cilantro/ coriander leaves  (include tender stalks, sub with mint)▢ 2 cup yogurt / thick curd▢ 1 teaspoon sugar (adjust to taste)▢ 1 teaspoon salt (adjust to taste)▢ ⅓ inch ginger peeled▢ 2 small garlic cloves peeled▢ 1¼ teaspoon roasted cumin powder (bhuna jeera powder)▢ 1 teaspoon chaat masala (optional, for the authentic flavors)","▢ Blend together mint, cilantro, salt, ginger, garlic, green chilies, roasted cumin powder, sugar, salt and 2 to 3 tbsp cold yogurt to a smooth paste.▢ Whisk yogurt until smooth and stir in the blended paste. Stir in the chaat masala.▢ Taste test and adjust salt, chili and sprinkle lemon juice if required. Serve with kebabs, snacks & sandwiches."
['Butter Chicken Recipe (Indian Chicken Makhani)'],"For sauce▢ 2 to 3 tablespoons butter  or ghee (divided)▢ 2 inch cinnamon piece▢ 2 to 4 green cardamoms▢ 2 to 4 cloves▢ 1½ cups (130 grams) onions sliced (optional, *updated)▢ 3 cups (600 grams, 24 oz)  fresh tomato puree (or 1 cup passata/canned tomato puree)▢ ¾ tablespoon ginger garlic paste▢ 1 to 2 green chilies  (deseed, slit or chop, optional)▢ 28 (42 grams) whole raw cashews  (soaked in hot water if required, read notes)▢ ½ cup water  to blend (more if required)▢ 1 to 2 teaspoons Kashmiri chili powder  (reduce for kids, adjust to taste)▢ 1 to 1½ teaspoons garam masala  (divided, adjust to taste)▢ 1 to 1½ teaspoon coriander powder  (optional, adjust to taste)▢ ½ teaspoon cumin powder  (optional, adjust to taste)▢ ½ to ¾ teaspoon salt  (adjust to taste)▢ 1 teaspoon sugar  (to balance the flavors)▢ ½ tablespoon Kasuri methi  (dried fenugreek leaves)▢ 1½ cups hot water to make gravy▢ ⅓ cup (80 to 100 ml) heavy cream  or whipping cream (divided)▢ 2 tablespoons coriander leaves (fine chopped to garnish)","▢ Add chicken to the butter chicken gravy. Pour more hot water (about ½ cup, not in the recipe) if the sauce is too thick. Cover and simmer for about 5 to 7 minutes till it becomes tender.▢ Stir in salt, sugar and kasuri methi. Taste test and optionally add more garam masala & another tablespoon butter for additional flavour (both are optional).▢ Turn off and stir in the heavy cream. Garnish Butter Chicken with chopped coriander leaves and some cream. Serve with Turmeric rice, steamed Basmati Rice, Butter naan or Cumin Rice."
['Chana Masala Recipe'],"For Chana Masala Gravy▢ 2 tablespoon oil  or as needed▢ 1 small bay leaf (optional)▢ 1 inch cinnamon  (optional)▢ 2  cloves (optional)▢ 2 green cardamoms (optional)▢ 1½ cups onions (fine chopped, 2 large)▢ 1 green chili  slit (optional)▢ ¾ to 1 tablespoon ginger garlic paste (or ½ tbsp each fine chopped) ▢ 1½ cups tomatoes (fine chopped, 3 large or 1½ cups tomato puree)▢ ¾ teaspoon salt (+ more to adjust to taste)▢ ¼ teaspoon turmeric▢ 1½  teaspoons Kashmiri red chili powder (adjust to taste)▢ 1  teaspoon garam masala  (adjust to taste)▢ 2 teaspoon coriander powder▢ ½ teaspoon cumin powder (optional)▢ 1 teaspoon kasuri methi (dried fenugreek leaves) (optional)▢ ¼ teaspoon amchur  (dried mango powder) (optional)▢ 2 tbsp coriander leaves (cilantro chopped finely)","▢ To make the recipe in Instant pot, make the onion tomato masala on saute mode. Optionally If you want you may cool and blend this. Add the soaked chickpeas with 2 cups water. Deglaze and Pressure cook on high for 35 minutes. When the pressure drops, open the lid. Cook on a saute mode for a few minutes until thick. Add kasuri methi and amchur."
['Palak Paneer Recipe (Indian Spinach Paneer)'],(Optional) Whole spices for palak paneer▢ ⅛ teaspoon cumin seeds (jeera) (optional)▢ 2 green cardamoms (elaichi) (optional)▢ 1 inch cinnamon (dalchini) (optional)▢ 2 cloves (laung) (optional),"▢ Heat 1 tablespoon butter and half tablespoon oil to the same pan, Once they melt, add cinnamon, cardamoms, cloves & cumin seeds. ▢ When the spices begin to sizzle, add onions and fry till they turn transparent to golden.▢ Next saute ginger garlic paste for 1 to 2 minutes or until you begin to smell it nice.▢ Then add tomatoes with salt. Saute until they break down and turn mushy.▢ Add garam masala & saute until the masala smells good. This may take 2 mins. (for a smoother curry refer notes)▢ Pour water and cook covered until onions are completely soft. There should be some water left in the pan. (for consistency check video)▢ Lower the flame, add kasuri methi and pureed spinach. Mix well and cook until it begins to bubble for about 2 to 3 mins. If the curry is too thick you may add a few tbsps of hot water.▢ Avoid overcooking. Add paneer & mix well. Turn off and remove to a serving bowl. Optionally garnish with cream.▢ Serve palak paneer with naan, roti, Basmati rice or Jeera rice."
['Dal Makhani Recipe (Restaurant Style)'],Whole Spices (optional)▢ 1 bay leaf (optional)▢ 2 green cardamoms (optional)▢ 1 black cardamom (optional),"▢ Press SAUTE button on the Instant pot. Add ghee and butter to the steel insert.▢ Once the butter melts, add onions and saute until transparent. Add ginger garlic paste and saute for 30 seconds.▢ Pour the tomato puree, red chilli powder & garam masala. Saute for 3 to 5 mins.▢ Drain the water from the lentils and add them. Pour 3 cups water and deglaze the pot by scrubbing the bottom with a wooden spatula.▢ Press CANCEL button. Secure the Instant pot with the lid. Position the steam release handle to sealing.▢ Press PRESSURE COOK button and set the timer to 30 mins.▢ When the IP finishes it will beep. Wait for the pressure to release naturally.▢ Open the lid.  You will see the dal being runny at this stage.  Add salt & slightly mash the urad dal, not rajma. ▢ Press SAUTE button. Adjust the setting to LOW by pressing the saute button twice.▢ Cook further stirring often until thick. When most of the moisture evaporates, dal turns thicker. Optional – I prefer to add 1 more cup of hot water in 2 batches, ½ cup each time. Cook further until really creamy and thick. ▢ Then add cream and kasuri methi. Continue to cook until creamy.▢ Stir in the butter and garnish dal makhani with cream."
['Matar Paneer Recipe (Mutter Paneer)'],For Matar Paneer Gravy▢ 1½ tablespoon (22 ml)  oil or ghee▢ 1 inch cinnamon (dalchini) (optional)▢ 1 small bay leaf (optional)▢ ¼ teaspoon turmeric▢ ¾ to 1 teaspoon Kashmiri red chili powder  (adjust to taste)▢ ¾ to 1 teaspoon garam masala (adjust to taste)▢ ½ to ¾ teaspoon coriander powder▢ 1 teaspoon sugar▢ 1 cup green peas (matar) (boiled or frozen)▢ 1 to 1 ¼ cup water (use more if needed)▢ 1 green chili deseeded & slit (optional)▢ 250 grams paneer (indian cottage cheese)▢ 1 teaspoon kasuri methi  (dried fenugreek leaves)▢ ¼ teaspoon salt  as needed (about ¼ to ½ tsp)▢ 2 tablespoon coriander leaves (cilantro)▢ 3 to 4 tablespoon cream (optional),"▢ Grate or crush the ginger garlic. Keep aside. Sauté onions in 1 tbsp oil for 5 mins in the Instant pot. Or Alternately bring 1½ cups water to a rolling boil and add the onions. Boil for 5 mins and remove them. ▢ To a blender jar, add boiled/sauteed onions, chopped tomatoes, cashews, cardamoms and yogurt (optional). Blend them to make a very smooth puree without adding water.▢ Press saute button on the instant pot and pour oil. Do not let the pot become too hot. Add bay leaf, cinnamon and ginger garlic (to a side into the oil). Saute for 30 seconds.▢ Pour the onion tomato puree. Add red chilli powder, turmeric powder, salt, sugar, coriander powder and garam masala.▢ Saute until the mixture turns slightly thicker and aromatic. Cover with an external lid to avoid splatters. This step takes about 5 minutes. Press cancel button.▢ Pour 1 cup water and deglaze the pot well. Secure the Instant pot with the lid and position the steam release valve to sealing. ▢ Press pressure cook button (low) & set the timer to 5 mins. If you want to put your rice together, soak basmati rice for 30 mins and drain the water. Place the rice bowl over a trivet and pour hot water.▢ When the IP is done, wait for 6 to 7 minutes & then release the rest of the pressure manually. ▢ Stir the gravy. Add green peas and cook for 2 minutes. (If you are using fresh peas, you will need to boil them separately and then add here.) To avoid splatters, cover the pot when you cook.▢ Taste test and add more salt if needed. If the curry is runny, cook it on saute mode for a few minutes. ▢ Add kasuri methi, cream and paneer. Stir and Press cancel. Remove the steel insert carefully & cover the pot immediately. Let matar paneer rest for 10 minutes."
['Pav Bhaji Recipe (Mumbai Street Style)'],To garnish ▢ 1 Lemon (sliced)▢ 2 to 4 tablespoon onions Chopped finely▢ 2 tablespoon coriander leaves▢ 2 tablespoon butter (divided between servings),"▢ Press SAUTE button on the instant pot. Add oil and butter to the steel insert.▢ Saute onions and green chili until the onions become transparent. Stir in ginger garlic and fry for 30 seconds.▢ Add tomatoes, capsicum and sprinkle salt. Saute until the tomatoes turn soft and mushy.▢ Stir in pav bhaji masala, chilli powder and turmeric. Add all the veggies – potatoes, cauliflower florets, carrots and green peas.▢ Pour 2 cups water (1x) and deglaze the pot by scrubbing the bottom with a wooden spatula.▢ Press CANCEL button and press PRESSURE COOK button with high pressure setting. Set the timer to 5 mins and position the steam release vent to sealing.▢ When the IP completes, it beeps, wait for 5 mins for natural pressure release. Gently release the rest of the pressure manually.▢ There will be lot of water when you open the lid. With a masher, mash all the veggies well, they will soak up the water.▢ Press SAUTE button. If needed add more salt, pav bhaji masala and more red chilli for a brighter color. I usually add ½ teaspoon more red chilli powder at this stage.▢ Let the bhaji simmer for 3 to 4 mins, until thick. Then add add crushed kasuri methi and mix. Press cancel. Sprinkle coriander leaves and 1 tablespoon butter.▢ Slit each bun to 2, horizontally, keeping one edge intact. Heat a pan. Smear some butter and sprinkle pav bhaji masala over the butter. (check images above) Toast the pavs until lightly crisp. ▢ Transfer bhaji to serving bowls. Top with butter & coriander leaves. Squeeze some lemon juice.▢ Serve alongside toasted buns and freshly cut onions."
"['Dosa Recipe, How to Make Dosa Batter']","Recipe 2 – Idli & dosa batter (2-in-1)▢ ½ cup whole urad dal (skinned whole black gram)▢ ¾ to 1 cup cold filtered water (to blend dal)▢ 1½ cup rice (regular raw rice or basmati rice, refer notes) ▢ ½ cup cold filtered water (to blend rice, may need 2 tbsps more)▢ ½ teaspoon methi seeds (fenugreek seeds) (makes dosas golden)▢ 2 tablespoons poha (flattened rice, or substitute ¼ teaspoon methi seeds)▢ ½ teaspoon rock salt  (or non iodized salt or crystal salt)","▢ Heat a dosa griddle/ tawa on a medium heat. When it is slightly hot, add a few drops of oil and spread it with a kitchen paper or a half cut onion (pierced with a fork/ butter knife on the rounded side to hold).This prevents the dosas from sticking to the pan.▢ To check if the pan is hot enough, sprinkle a few drops of water over the pan. If it is ready, it should sizzle.▢ Reduce the heat to low, stir the batter with a ladle and take a ladle (¼ cup) of dosa batter & pour in the center of the hot griddle/ tawa.▢ Immediately begin to spread it evenly with the base of the ladle – starting from the center, in an outward circular motion in a clockwise direction. (Check photos or video in the post)▢ Increase the heat to medium high or high and drizzle oil/ghee/ butter across the edges.▢ Cook until the base turns golden & crisp. Run a thin wooden turner/spatula across the base of the dosa, starting from the edges to the center.▢ Optional – If you want you may cook on the other side – turn it to the other side and cook for a minute. Turn again and cook the base for 30 seconds to crisp it.▢ Fold the dosa and remove from pan. Before making the next dosa, reduce the heat to low. You can also rub the cut onion and then pour the batter.▢ Serve dosa with coconut chutney, potato masala & tiffin sambar."
"['Upma Recipe, How to Make Rava Upma']","other ingredients▢ 1 small onion (chopped or sliced thinly)▢ 2 green chili slit▢ ½ inch ginger (½ to ¾ teaspoon very finely chopped)(optional)▢ 3 cups water (2¾ cups for a drier upma, refer notes) ▢ ½ to ¾ teaspoon salt▢ 2 teaspoon ghee (optional)▢ lemon juice (optional) for serving","▢ Optional – If using peanuts, on a medium heat fry them in a teaspoon oil until deep golden and aromatic. Remove to a plate to use later to garnish.▢ Pour oil to a hot pan. Next add mustard seeds, cumin seeds, urad dal & chana dal. Fry until the dal turns light golden, add cashews.▢ Fry them stirring until the dal and cashews turn aromatic & light brown but not burnt.▢ Add hing, slit green chilies, chopped ginger and curry leaves. Saute for a minute. Add chopped onions and fry until transparent.▢ Optional: To make vegetable upma, you can add green peas, fine chopped carrots and French beans. Stir and cook covered until slightly tender.▢ Pour water and add salt. Mix and taste test the water. It has to be slightly salty. If needed add more.▢ Bring the water to a rolling boil. Set the flame to low. ▢ With one hand pour rava in a slow stream to the boiling water, while you stir the rava in the water with the other hand. This way incorporate the entire rava into the boiling water. (check video). Make sure the water is still boiling well consistently while you add the semolina.▢ Be quick at this stage. Stir everything once to check any lumps. Break up if any.▢ Cover and cook on the lowest flame until the water is completely absorbed. This just takes 2 to 4 mins depending on the kind of pot or pan used.▢ Open the lid and stir once.  Add ghee if you like. Give a quick stir.▢ Switch off the stove and cover again. Allow upma to rest for 5 mins, this helps it to become fluffy.▢ Serve rava upma plain or with spiced peanut podi, chutney, pickle or curd. Garnish with roasted/fried peanuts."
